old_entry_id,new_entry_id,reason
GAL_SMT-6.9.8,GAL_SMT-6.9.1,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.9,GAL_SMT-6.9.2,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.10,GAL_SMT-6.9.3,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.11,GAL_SMT-6.9.4,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.12,GAL_SMT-6.9.5,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.13,GAL_SMT-6.9.6,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.14,GAL_SMT-6.9.7,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-6.9.15,GAL_SMT-6.9.8,legacy extraction predates GAL_SMT 6.9 ref-sequence correction
GAL_SMT-10.1.0,GAL_SMT-10.1,legacy extraction predates GAL_SMT 10.1 ref normalization
