candidate_id,author_group,entry_id,text_source,sample_type,candidate_method,trigger_pattern,left_term_key,left_display,right_term_key,right_display,relation_hint,evidence_display,review_status,review_confidence,review_note
SNRC-00011,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαια,ἐλαίας,ελαιον,ἔλαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00012,Aetius,AET_LM-1.100,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαια,ἐλαίας,ελαιον παλαιον,παλαιὸν ἔλαιον,unreviewed,"ν δὲ συμμέτρως ἐστὶ τῆς μέσης κράσεως καὶ διαφορητικώτερον τοῦ ὠμοτριβοῦς. τὸ δὲ ὠμοτριβὲς ἢ ὀμφάκινον ὀνομαζόμενον εἰς ὅσον στύψεως μετείληφεν, εἰς τοσοῦτον καὶ ψύξεως. τὸ δὲ παλαιὸν ἔλαιον τὸ μὲν ἐκ τοῦ γλυκέος καλουμένου γιγνόμενον, θερμότερόν τε καὶ",pending_llm_review,,
SNRC-00013,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,ελαιον κικινον,ἔλαιον κίκινον,variant," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00014,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,ελαιον παλαιον,παλαιὸν ἔλαιον,variant," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00015,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,κικις,κίκεως,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00016,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,κροτων,κρότωνες,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00017,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,ραφανινος,ῥαφανίνῳ,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00018,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,υδωρ,ὕδατος,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00019,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,υδωρ θερμον,ὕδατος θερμοῦ,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
SNRC-00020,Aetius,AET_LM-1.101,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἔλαιον,σπερματος της κικεως,σπέρματος τῆς κίκεως,unreviewed," κίκινον κατ' Αἴγυπτον γίγνεται, τοῦ σπέρματος τῆς κίκεως, ὃ καλεῖται κρότωνες, κοπτομένου ἢ θλιβομένου ἢ δι' ὕδατος θερμοῦ ἀναλεγομένου. ἐστὶ δὲ λεπτομερὲς καὶ διαφορητικὸν ὡς τὸ παλαιὸν ἔλαιον. σμήχει δὲ ἀλφοὺς ἐφήλεις φακοὺς συνεχῶς χριόμενον. παραπλ",pending_llm_review,,
