headword_gr,context,reason,suggested_category_or_parent
βρέξαντα,SMT row 551: αἶμα τῶν χλωρῶν βατράχων; βρέξαντα,verbal/process form; belongs in preparations/process layer,preparations/process
ἕψησις,"Aetius I-II row 524: γάλα, ἕψησις",verbal/process form; belongs in preparations/process layer,preparations/process
ὄστρακον κήρυκου,SMT row 602: ὄστρακον κήρυκου; ὄστρακον πορφύρης,Ambiguous parent candidate (multiple matching base lemmata).,parent_base_norm=οστρακον
ὄστρακον πορφύρης,SMT row 602: ὄστρακον κήρυκου; ὄστρακον πορφύρης,Ambiguous parent candidate (multiple matching base lemmata).,parent_base_norm=οστρακον
ὄστρακον ὀστρέων,SMT row 603: ὄστρακον ὀστρέων,Ambiguous parent candidate (multiple matching base lemmata).,parent_base_norm=οστρακον
ὄστρακον σηπίας,SMT row 604: ὄστρακον σηπίας,Ambiguous parent candidate (multiple matching base lemmata).,parent_base_norm=οστρακον
ῥόα πᾶσα,Alim.Fac row 20: ῥόα πᾶσα,Ambiguous parent candidate (multiple matching base lemmata).,parent_base_norm=ροα
ῥόα πᾶσα,Aetius I-II row 356: ῥόα πᾶσα,Ambiguous parent candidate (multiple matching base lemmata).,parent_base_norm=ροα
