lemma_id,headword_gr,headword_normalized,headword_en,parent_lemma,relationship,category,notes
L001,ἀβρότονον,αβροτονον,,,,plant,
L002,ἄγνος,αγνος,,,,plant,split from workbook list: ἄγνος; λύγος; category inherited from bundle source
L003,λύγος,λυγος,,,,plant,split from workbook list: ἄγνος; λύγος; category inherited from bundle source
L004,ἄγρωστις,αγρωστις,,,,plant,
L005,ἄγχουσα,αγχουσα,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L006,ὀνόκλεια,ονοκλεια,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L007,λύκοψις,λυκοψις,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L008,ὀνόχειλος,ονοχειλος,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L009,ἀλκιβιάδειον,αλκιβιαδειον,,,,plant,split from workbook list: ἄγχουσα; ὀνόκλεια; λύκοψις; ὀνόχειλος; ἀλκιβιάδειον; category inherited from bundle source
L010,ἀγαρικόν,αγαρικον,,,,plant,
L011,ἀγήρατον,αγηρατον,,,,plant,
L012,ἀδίαντον,αδιαντον,,,,plant,
L013,ἀείζωον,αειζωον,,,,plant,split from workbook list: ἀείζωον; ἀείζωον τὸ μέγα; ἀείζωον τὸ μικρόν; category inherited from bundle source
L014,ἀείζωον τὸ μέγα,αειζωον το μεγα,,L013,subtype,plant,split from workbook list: ἀείζωον; ἀείζωον τὸ μέγα; ἀείζωον τὸ μικρόν; category inherited from bundle source
L015,ἀείζωον τὸ μικρόν,αειζωον το μικρον,,L013,subtype,plant,split from workbook list: ἀείζωον; ἀείζωον τὸ μέγα; ἀείζωον τὸ μικρόν; category inherited from bundle source
L016,αἰγίλωψ,αιγιλωψ,,,,plant,
L017,αἶρα,αιρα,,,,plant,
L018,αἴγειρος,αιγειρος,,,,plant,
L019,ἀκακία,ακακια,,,,plant,
L020,ἀκαλύφη,ακαλυφη,,,,plant,
L021,ἄκανθος,ακανθος,,,,plant,split from workbook list: ἄκανθος; μελάμφυλλος; παιδέρωτα; category inherited from bundle source
L022,μελάμφυλλος,μελαμφυλλος,,,,plant,split from workbook list: ἄκανθος; μελάμφυλλος; παιδέρωτα; category inherited from bundle source
L023,παιδέρωτα,παιδερωτα,,,,plant,split from workbook list: ἄκανθος; μελάμφυλλος; παιδέρωτα; category inherited from bundle source
L024,ἀκάνθιον,ακανθιον,,,,plant,
L025,ἄκανθα λευκή,ακανθα λευκη,,,,plant,split from workbook list: ἄκανθα λευκή; λευκάκανθος; category inherited from bundle source
L026,λευκάκανθος,λευκακανθος,,,,plant,split from workbook list: ἄκανθα λευκή; λευκάκανθος; category inherited from bundle source
L027,ἄκανθα Αἰγυπτία,ακανθα αιγυπτια,,,,plant,split from workbook list: ἄκανθα Αἰγυπτία; ἄκανθα Ἀραβική; category inherited from bundle source
L028,ἄκανθα Ἀραβική,ακανθα αραβικη,,,,plant,split from workbook list: ἄκανθα Αἰγυπτία; ἄκανθα Ἀραβική; category inherited from bundle source
L029,ἄκορον,ακορον,,,,plant,
L030,ἀκόνιτον,ακονιτον,,,,plant,split from workbook list: ἀκόνιτον; παρδαλιαγχές; category inherited from bundle source
L031,παρδαλιαγχές,παρδαλιαγχες,,,,plant,split from workbook list: ἀκόνιτον; παρδαλιαγχές; category inherited from bundle source
L032,λυκοκτόνον,λυκοκτονον,,,,plant,split from workbook list: ἀκόνιτον; λυκοκτόνον; category inherited from bundle source
L033,ἀκτή,ακτη,,,,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L034,ἄκτη ἡ μεγάλη,ακτη η μεγαλη,,L033,subtype,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L035,δενδρώδης,δενδρωδης,,,,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L036,ἄκτη ἡ βοτανωδεστέρα,ακτη η βοτανωδεστερα,,L033,subtype,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L037,ἄκτη χαμαιάκτην,ακτη χαμαιακτην,,L033,subtype,plant,split from workbook list: ἀκτή; ἄκτη ἡ μεγάλη καὶ δενδρώδης; ἄκτη ἡ βοτανωδεστέρα; ἄκτη χαμαιάκτην; category inherited from bundle source
L038,ἅλιμον,αλιμον,,,,plant,split from workbook list: ἅλιμον; ἁλμυρίς; category inherited from bundle source
L039,ἀλόη,αλοη,,,,plant,
L040,ἄλυσσον,αλυσσον,,,,plant,
L041,ἀλσίνη,αλσινη,,,,plant,split from workbook list: ἀλσίνη; μυὸς ὦτα; category inherited from bundle source
L042,μυὸς ὦτα,μυος ωτα,,,,plant,split from workbook list: ἀλσίνη; μυὸς ὦτα; category inherited from bundle source
L043,ἀμάρακον,αμαρακον,,,,plant,
L044,ἀμβροσία,αμβροσια,,,,plant,
L045,ἄμι,αμι,,,,plant,
L046,ἀμάραντον,αμαραντον,,,,plant,
L047,ἀμόργη,αμοργη,,,,plant,
L048,ἀμπελόπρασον,αμπελοπρασον,,,,plant,
L049,ἄμπελος ἄγρια,αμπελος αγρια,,,,plant,
L050,ἄμπελος ἥμερος,αμπελος ημερος,,,,plant,
L051,ἄμπελος λευκή,αμπελος λευκη,,,,plant,split from workbook list: ἄμπελος λευκή; βρυωνία; ψίλωθρον; category inherited from bundle source
L052,βρυωνία,βρυωνια,,,,plant,split from workbook list: ἄμπελος λευκή; βρυωνία; ψίλωθρον; category inherited from bundle source
L053,ψίλωθρον,ψιλωθρον,,,,plant,split from workbook list: ἄμπελος λευκή; βρυωνία; ψίλωθρον; category inherited from bundle source
L054,ἄμπελος μέλαινα,αμπελος μελαινα,,,,plant,
L055,ἀμύγδαλα,αμυγδαλα,,,,plant,
L056,ἀμμωνιακόν,αμμωνιακον,,,,plant,
L057,ἄμωμον,αμωμον,,,,plant,
L058,ἀναγαλλίς,αναγαλλις,,,,plant,split from workbook list: ἀναγαλλίς; ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα; ἀναγαλλίς ἡ τὸ φοινικοῦν; category inherited from bundle source
L059,ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα,αναγαλλις η το κυανον ανθος εχουσα,,L058,subtype,plant,split from workbook list: ἀναγαλλίς; ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα; ἀναγαλλίς ἡ τὸ φοινικοῦν; category inherited from bundle source
L060,ἀναγαλλίς ἡ τὸ φοινικοῦν,αναγαλλις η το φοινικουν,,L058,subtype,plant,split from workbook list: ἀναγαλλίς; ἀναγαλλίς ἡ τὸ κυανὸν ἄνθος ἔχουσα; ἀναγαλλίς ἡ τὸ φοινικοῦν; category inherited from bundle source
L061,ἀνάγυρος,αναγυρος,,,,plant,
L062,ἀνδρόσαιμον,ανδροσαιμον,,,,plant,split from workbook list: ἀνδρόσαιμον; ἀνδρόσαιμον τὸ ἄσκυρον; ἀνδρόσαιμον τὸ ἀσκυροειδές; ἀνδρόσαιμον τὸ διονυσίας; category inherited from bundle source
L063,ἀνδρόσαιμον τὸ ἄσκυρον,ανδροσαιμον το ασκυρον,,L062,subtype,plant,split from workbook list: ἀνδρόσαιμον; ἀνδρόσαιμον τὸ ἄσκυρον; ἀνδρόσαιμον τὸ ἀσκυροειδές; ἀνδρόσαιμον τὸ διονυσίας; category inherited from bundle source
L064,ἀνδρόσαιμον τὸ ἀσκυροειδές,ανδροσαιμον το ασκυροειδες,,L062,subtype,plant,split from workbook list: ἀνδρόσαιμον; ἀνδρόσαιμον τὸ ἄσκυρον; ἀνδρόσαιμον τὸ ἀσκυροειδές; ἀνδρόσαιμον τὸ διονυσίας; category inherited from bundle source
L065,ἀνδρόσαιμον τὸ διονυσίας,ανδροσαιμον το διονυσιας,,L062,subtype,plant,split from workbook list: ἀνδρόσαιμον; ἀνδρόσαιμον τὸ ἄσκυρον; ἀνδρόσαιμον τὸ ἀσκυροειδές; ἀνδρόσαιμον τὸ διονυσίας; category inherited from bundle source
L066,ἀνδρόσακες,ανδροσακες,,,,plant,
L067,ἀνδράχνη,ανδραχνη,,,,plant,
L068,ἀνεμῶναι,ανεμωναι,,,,plant,
L069,ἄνηθον,ανηθον,,,,plant,
L070,ἀνθυλλίς,ανθυλλις,,,,plant,split from workbook list: ἀνθυλλίς; ἀνθυλλίς διττή; category inherited from bundle source
L071,ἀνθυλλίς διττή,ανθυλλις διττη,,L070,subtype,plant,split from workbook list: ἀνθυλλίς; ἀνθυλλίς διττή; category inherited from bundle source
L072,ἀνθεμὶς,ανθεμις,,,,plant,split from workbook list: ἀνθεμὶς; χαμαίμηλον; category inherited from bundle source
L073,χαμαίμηλον,χαμαιμηλον,,,,plant,split from workbook list: ἀνθεμὶς; χαμαίμηλον; category inherited from bundle source
L074,ἄνισον,ανισον,,,,plant,
L075,ἀντίρριον,αντιρριον,,,,plant,split from workbook list: ἀντίρριον; ἀνάρρινον; category inherited from bundle source
L076,ἀνάρρινον,αναρρινον,,,,plant,split from workbook list: ἀντίρριον; ἀνάρρινον; category inherited from bundle source
L077,ἀπαρίνη,απαρινη,,,,plant,split from workbook list: ἀπαρίνη; φιλάνθρωπος; ὀμφακόκαρπος; category inherited from bundle source
L078,φιλάνθρωπος,φιλανθρωπος,,,,plant,split from workbook list: ἀπαρίνη; φιλάνθρωπος; ὀμφακόκαρπος; category inherited from bundle source
L079,ὀμφακόκαρπος,ομφακοκαρπος,,,,plant,split from workbook list: ἀπαρίνη; φιλάνθρωπος; ὀμφακόκαρπος; category inherited from bundle source
L080,ἄπιος ἐδώδιμος,απιος εδωδιμος,,,,plant,
L081,ἀχράδες,αχραδες,,,,plant,
L082,ἀπόκυνον,αποκυνον,,,,plant,split from workbook list: ἀπόκυνον; κυνοκράμβη; κυνόμορον; category inherited from bundle source
L083,κυνοκράμβη,κυνοκραμβη,,,,plant,split from workbook list: ἀπόκυνον; κυνοκράμβη; κυνόμορον; category inherited from bundle source
L084,κυνόμορον,κυνομορον,,,,plant,split from workbook list: ἀπόκυνον; κυνοκράμβη; κυνόμορον; category inherited from bundle source
L085,Ἀργεμόνη,αργεμονη,,,,plant,
L086,Ἀρίσαρον,αρισαρον,,,,plant,
L087,ἀριστολοχία,αριστολοχια,,,,plant,
L088,ἄρκευθος,αρκευθος,,,,plant,
L089,ἄρκτιον,αρκτιον,,,,plant,
L090,ἄρκτιον ἕτερον,αρκτιον ετερον,,L089,subtype,plant,split from workbook list: ἄρκτιον ἕτερον; προσωπίδα; category inherited from bundle source
L091,προσωπίδα,προσωπιδα,,,,plant,split from workbook list: ἄρκτιον ἕτερον; προσωπίδα; category inherited from bundle source
L092,ἀρνόγλωσσον,αρνογλωσσον,,,,plant,
L093,ἄρον,αρον,,,,plant,
L094,ἀρτεμισία διττή,αρτεμισια διττη,,,,plant,
L095,ἄσαρον,ασαρον,,,,plant,
L096,Ἀσκληπιάς,ασκληπιας,,,,plant,
L097,ἀσπάλαθος,ασπαλαθος,,,,plant,
L098,ἀσπάραγος,ασπαραγος,,,,plant,split from workbook list: ἀσπάραγος; ἀσπάραγος πετραῖος; μυακάνθινος; category inherited from bundle source
L099,ἀσπάραγος πετραῖος,ασπαραγος πετραιος,,L098,subtype,plant,split from workbook list: ἀσπάραγος; ἀσπάραγος πετραῖος; μυακάνθινος; category inherited from bundle source
L100,μυακάνθινος,μυακανθινος,,,,plant,split from workbook list: ἀσπάραγος; ἀσπάραγος πετραῖος; μυακάνθινος; category inherited from bundle source
L101,Ἄσπληνον,ασπληνον,,,,plant,
L102,Ἀστράγαλος,αστραγαλος,,,,plant,
L103,Ἀστὴρ Ἀττικός,αστηρ αττικος,,,,plant,split from workbook list: Ἀστὴρ Ἀττικός; βουβώνιον; category inherited from bundle source
L104,βουβώνιον,βουβωνιον,,,,plant,split from workbook list: Ἀστὴρ Ἀττικός; βουβώνιον; category inherited from bundle source
L105,ἀσταφὶς ἥμερος,ασταφις ημερος,,,,plant,split from workbook list: ἀσταφὶς ἥμερος; ἀσταφὶς ἀγρία; category inherited from bundle source
L106,ἀσταφὶς ἀγρία,ασταφις αγρια,,,,plant,split from workbook list: ἀσταφὶς ἥμερος; ἀσταφὶς ἀγρία; category inherited from bundle source
L107,ἀσφόδελος,ασφοδελος,,,,plant,
L108,ἀτρακτυλίς,ατρακτυλις,,,,plant,split from workbook list: ἀτρακτυλίς; κνίκος ἄγρία; category inherited from bundle source
L109,κνίκος ἄγρία,κνικος αγρια,,L301,subtype,plant,split from workbook list: ἀτρακτυλίς; κνίκος ἄγρία; category inherited from bundle source
L110,ἀτράφαξις,ατραφαξις,,,,plant,
L111,Ἀφάκη,αφακη,,,,plant,
L112,ἀψίνθιον,αψινθιον,,,,plant,
L113,βάλανος,βαλανος,,,,plant,
L114,βαλσάμου τὸ ξύλον,βαλσαμου το ξυλον,,,,plant,split from workbook list: βαλσάμου τὸ ξύλον; βαλσάμου τὸ ὀπὸς; βαλσάμου τὸ καρπός; category inherited from bundle source
L115,βαλσάμου τὸ ὀπὸς,βαλσαμου το οπος,,,,plant,split from workbook list: βαλσάμου τὸ ξύλον; βαλσάμου τὸ ὀπὸς; βαλσάμου τὸ καρπός; category inherited from bundle source
L116,βαλσάμου τὸ καρπός,βαλσαμου το καρπος,,,,plant,split from workbook list: βαλσάμου τὸ ξύλον; βαλσάμου τὸ ὀπὸς; βαλσάμου τὸ καρπός; category inherited from bundle source
L117,βαλαύστιον,βαλαυστιον,,,,plant,
L118,βάτος,βατος,,,,plant,
L119,βατράχιον,βατραχιον,,,,plant,
L120,βδέλλιον,βδελλιον,,,,plant,split from workbook list: βδέλλιον; βδέλλιον τὸ Σκυθικὸν; βδέλλιον τὸ Ἀραβικὸν; category inherited from bundle source
L121,βδέλλιον τὸ Σκυθικὸν,βδελλιον το σκυθικον,,L120,subtype,plant,split from workbook list: βδέλλιον; βδέλλιον τὸ Σκυθικὸν; βδέλλιον τὸ Ἀραβικὸν; category inherited from bundle source
L122,βδέλλιον τὸ Ἀραβικὸν,βδελλιον το αραβικον,,L120,subtype,plant,split from workbook list: βδέλλιον; βδέλλιον τὸ Σκυθικὸν; βδέλλιον τὸ Ἀραβικὸν; category inherited from bundle source
L123,βηχίον,βηχιον,,,,plant,
L124,βλίτον ἐδώδιμον,βλιτον εδωδιμον,,L823,subtype,plant,
L125,βολβὸς ἥμερος,βολβος ημερος,,L845,subtype,plant,
L126,βολβὸς ἐμετικός,βολβος εμετικος,,L845,subtype,plant,
L127,ἀστὴρ Ἀττικὸς,αστηρ αττικος,,,,plant,split from workbook list: βουβώνιον; ἀστὴρ Ἀττικὸς; category inherited from bundle source
L128,βούγλωσσον,βουγλωσσον,,,,plant,
L129,βούνιον,βουνιον,,,,plant,split from workbook list: βούνιον; ἀρκτικὸν; category inherited from bundle source
L130,ἀρκτικὸν,αρκτικον,,,,plant,split from workbook list: βούνιον; ἀρκτικὸν; category inherited from bundle source
L131,βούφθαλμον,βουφθαλμον,,,,plant,
L132,βράθυ,βραθυ,,,,plant,
L133,βρετανική,βρετανικη,,,,plant,
L134,βρόμος,βρομος,,,,plant,
L135,βρύον θαλάττιον,βρυον θαλαττιον,,L136,subtype,plant,
L136,βρύον,βρυον,,,,plant,split from workbook list: βρύον; σπλάγχνον; category inherited from bundle source
L137,σπλάγχνον,σπλαγχνον,,,,plant,split from workbook list: βρύον; σπλάγχνον; category inherited from bundle source
L138,γάλλιον,γαλλιον,,,,plant,
L139,γεντιανή,γεντιανη,,,,plant,
L140,γίγαρτα,γιγαρτα,,,,plant,
L141,γιγγίδιον,γιγγιδιον,,,,plant,
L142,γλαύκιον,γλαυκιον,,,,plant,
L143,γλαύξ,γλαυξ,,,,plant,
L144,γλήχων,γληχων,,,,plant,
L145,γλοιός,γλοιος,,,,plant,
L146,γλυκύριζα,γλυκυριζα,,,,plant,
L147,γλυκυσίδης,γλυκυσιδης,,,,plant,split from workbook list: γλυκυσίδης; πεντόροβος; παιονία; category inherited from bundle source
L148,πεντόροβος,πεντοροβος,,,,plant,split from workbook list: γλυκυσίδης; πεντόροβος; παιονία; category inherited from bundle source
L149,παιονία,παιονια,,,,plant,split from workbook list: γλυκυσίδης; πεντόροβος; παιονία; category inherited from bundle source
L150,γναφάλιον,γναφαλιον,,,,plant,
L151,γογγυλίς,γογγυλις,,,,plant,
L152,δαμασώνιον,δαμασωνιον,,,,plant,split from workbook list: δαμασώνιον; ἄλισμα; category inherited from bundle source
L153,ἄλισμα,αλισμα,,,,plant,split from workbook list: δαμασώνιον; ἄλισμα; category inherited from bundle source
L154,δαῦκος,δαυκος,,,,plant,split from workbook list: δαῦκος; σταφυλῖνος; category inherited from bundle source
L155,σταφυλῖνος,σταφυλινος,,,,plant,split from workbook list: δαῦκος; σταφυλῖνος; category inherited from bundle source
L156,δαύκου σπέρμα,δαυκου σπερμα,,,,plant,split from workbook list: δαῦκος; δαύκου σπέρμα; category inherited from bundle source
L157,δάφνη ἡ δένδρα,δαφνη η δενδρα,,L825,subtype,plant,
L158,δάφνη ἡ πόα,δαφνη η ποα,,L825,subtype,plant,
L159,δίκταμνον,δικταμνον,,,,plant,
L160,δίψακος,διψακος,,,,plant,
L161,δορύκνιον,δορυκνιον,,,,plant,
L162,δρακόντιον,δρακοντιον,,,,plant,
L163,δρυοπτερίς,δρυοπτερις,,,,plant,
L164,δρῦς,δρυς,,,,plant,
L165,ἐβίσκος,εβισκος,,,,plant,split from workbook list: ἐβίσκος; ἀλθαία; category inherited from bundle source
L166,ἀλθαία,αλθαια,,,,plant,split from workbook list: ἐβίσκος; ἀλθαία; category inherited from bundle source
L167,ἔβενος,εβενος,,,,plant,
L168,ἐλαία,ελαια,,,,plant,
L169,ἔλαιον,ελαιον,,,,plant,split from workbook list: ἔλαιον; ἔλαιον ἐκ τῆς ἐλαίας; ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ; γλυκύτατον ἔλαιον; ὠμοτριβὲς ἔλαιον; ὀμφάκινον ἔλαιον; ἔλαιον παλαιόν; ἔλαιον τὸ ἀπὸ τῆς Ἰβηρίας κομιζόμενον; Σπανὸν ἔλαιον; Σαβῖνον ἔλαιον; πεπλυμένον ἔλαιον; Σικυώνιον ἔλαιον; κίκινον ἔλαιον; ῥαφάνινον ἔλαιον; σησάμινον ἔλαιον; ἀμυγδάλινον ἔλαιον; καρύϊνον ἔλαιον; σινάπινον ἔλαιον; σχίνινον ἔλαιον; δάφνινον ἔλαιον; μελάνθινον ἔλαιον; τερμίνθινον ἔλαιον; μαστίχινον ἔλαιον; μύρσινον ἔλαιον; βαλάνινον ἔλαιον; ὑοσκυάμινον ἔλαιον; κέδρινον ἔλαιον; δάδινον ἔλαιον; τὸ ἀπὸ τῆς ὑγρᾶς πίττης ἔλαιον; τὸ ἐκ τοῦ κνιδίου κόκκου ἔλαιον; τὸ ἐκ τῆς ἀγρίας ἐλαίας ἔλαιον; Ἰστρικόν ἔλαιον; Σπανόν; Λιβυκόν; Κιλίκιον; Σαβῖνον ; τὸ κατὰ τὰς Κυκλάδας νήσους ; τὸ κατὰ τὴν Ἑλλάδα ; τὸ κατὰ τὴν Ἀσίαν. ; ῥόδινον; μήλινον; κρίνινον; category inherited from bundle source
L170,ἔλαιον ἐκ τῆς ἐλαίας,ελαιον εκ της ελαιας,,L169,subtype,plant,split from workbook list: ἔλαιον; ἔλαιον ἐκ τῆς ἐλαίας; ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ; γλυκύτατον ἔλαιον; ὠμοτριβὲς ἔλαιον; ὀμφάκινον ἔλαιον; ἔλαιον παλαιόν; ἔλαιον τὸ ἀπὸ τῆς Ἰβηρίας κομιζόμενον; Σπανὸν ἔλαιον; Σαβῖνον ἔλαιον; πεπλυμένον ἔλαιον; Σικυώνιον ἔλαιον; κίκινον ἔλαιον; ῥαφάνινον ἔλαιον; σησάμινον ἔλαιον; ἀμυγδάλινον ἔλαιον; καρύϊνον ἔλαιον; σινάπινον ἔλαιον; σχίνινον ἔλαιον; δάφνινον ἔλαιον; μελάνθινον ἔλαιον; τερμίνθινον ἔλαιον; μαστίχινον ἔλαιον; μύρσινον ἔλαιον; βαλάνινον ἔλαιον; ὑοσκυάμινον ἔλαιον; κέδρινον ἔλαιον; δάδινον ἔλαιον; τὸ ἀπὸ τῆς ὑγρᾶς πίττης ἔλαιον; τὸ ἐκ τοῦ κνιδίου κόκκου ἔλαιον; τὸ ἐκ τῆς ἀγρίας ἐλαίας ἔλαιον; Ἰστρικόν ἔλαιον; Σπανόν; Λιβυκόν; Κιλίκιον; Σαβῖνον ; τὸ κατὰ τὰς Κυκλάδας νήσους ; τὸ κατὰ τὴν Ἑλλάδα ; τὸ κατὰ τὴν Ἀσίαν. ; ῥόδινον; μήλινον; κρίνινον; category inherited from bundle source
L171,ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ,ελαιον εκ δρυπετους του καρπου,,L169,subtype,plant,split from workbook list: ἔλαιον; ἔλαιον ἐκ τῆς ἐλαίας; ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ; γλυκύτατον ἔλαιον; ὠμοτριβὲς ἔλαιον; ὀμφάκινον ἔλαιον; ἔλαιον παλαιόν; ἔλαιον τὸ ἀπὸ τῆς Ἰβηρίας κομιζόμενον; Σπανὸν ἔλαιον; Σαβῖνον ἔλαιον; πεπλυμένον ἔλαιον; Σικυώνιον ἔλαιον; κίκινον ἔλαιον; ῥαφάνινον ἔλαιον; σησάμινον ἔλαιον; ἀμυγδάλινον ἔλαιον; καρύϊνον ἔλαιον; σινάπινον ἔλαιον; σχίνινον ἔλαιον; δάφνινον ἔλαιον; μελάνθινον ἔλαιον; τερμίνθινον ἔλαιον; μαστίχινον ἔλαιον; μύρσινον ἔλαιον; βαλάνινον ἔλαιον; ὑοσκυάμινον ἔλαιον; κέδρινον ἔλαιον; δάδινον ἔλαιον; τὸ ἀπὸ τῆς ὑγρᾶς πίττης ἔλαιον; τὸ ἐκ τοῦ κνιδίου κόκκου ἔλαιον; τὸ ἐκ τῆς ἀγρίας ἐλαίας ἔλαιον; Ἰστρικόν ἔλαιον; Σπανόν; Λιβυκόν; Κιλίκιον; Σαβῖνον ; τὸ κατὰ τὰς Κυκλάδας νήσους ; τὸ κατὰ τὴν Ἑλλάδα ; τὸ κατὰ τὴν Ἀσίαν. ; ῥόδινον; μήλινον; κρίνινον; category inherited from bundle source
L172,γλυκύτατον ἔλαιον,γλυκυτατον ελαιον,,L169,subtype,plant,split from workbook list: ἔλαιον; ἔλαιον ἐκ τῆς ἐλαίας; ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ; γλυκύτατον ἔλαιον; ὠμοτριβὲς ἔλαιον; ὀμφάκινον ἔλαιον; ἔλαιον παλαιόν; ἔλαιον τὸ ἀπὸ τῆς Ἰβηρίας κομιζόμενον; Σπανὸν ἔλαιον; Σαβῖνον ἔλαιον; πεπλυμένον ἔλαιον; Σικυώνιον ἔλαιον; κίκινον ἔλαιον; ῥαφάνινον ἔλαιον; σησάμινον ἔλαιον; ἀμυγδάλινον ἔλαιον; καρύϊνον ἔλαιον; σινάπινον ἔλαιον; σχίνινον ἔλαιον; δάφνινον ἔλαιον; μελάνθινον ἔλαιον; τερμίνθινον ἔλαιον; μαστίχινον ἔλαιον; μύρσινον ἔλαιον; βαλάνινον ἔλαιον; ὑοσκυάμινον ἔλαιον; κέδρινον ἔλαιον; δάδινον ἔλαιον; τὸ ἀπὸ τῆς ὑγρᾶς πίττης ἔλαιον; τὸ ἐκ τοῦ κνιδίου κόκκου ἔλαιον; τὸ ἐκ τῆς ἀγρίας ἐλαίας ἔλαιον; Ἰστρικόν ἔλαιον; Σπανόν; Λιβυκόν; Κιλίκιον; Σαβῖνον ; τὸ κατὰ τὰς Κυκλάδας νήσους ; τὸ κατὰ τὴν Ἑλλάδα ; τὸ κατὰ τὴν Ἀσίαν. ; ῥόδινον; μήλινον; κρίνινον; category inherited from bundle source
L173,ὠμοτριβὲς ἔλαιον,ωμοτριβες ελαιον,,L169,subtype,plant,split from workbook list: ἔλαιον; ἔλαιον ἐκ τῆς ἐλαίας; ἔλαιον ἐκ δρυπετοῦς τοῦ καρποῦ; γλυκύτατον ἔλαιον; ὠμοτριβὲς ἔλαιον; ὀμφάκινον ἔλαιον; ἔλαιον παλαιόν; ἔλαιον τὸ ἀπὸ τῆς Ἰβηρίας κομιζόμενον; Σπανὸν ἔλαιον; Σαβῖνον ἔλαιον; πεπλυμένον ἔλαιον; Σικυώνιον ἔλαιον; κίκινον ἔλαιον; ῥαφάνινον ἔλαιον; σησάμινον ἔλαιον; ἀμυγδάλινον ἔλαιον; καρύϊνον ἔλαιον; σινάπινον ἔλαιον; σχίνινον ἔλαιον; δάφνινον ἔλαιον; μελάνθινον ἔλαιον; τερμίνθινον ἔλαιον; μαστίχινον ἔλαιον; μύρσινον ἔλαιον; βαλάνινον ἔλαιον; ὑοσκυάμινον ἔλαιον; κέδρινον ἔλαιον; δάδινον ἔλαιον; τὸ ἀπὸ τῆς ὑγρᾶς πίττης ἔλαιον; τὸ ἐκ τοῦ κνιδίου κόκκου ἔλαιον; τὸ ἐκ τῆς ἀγρίας ἐλαίας ἔλαιον; Ἰστρικόν ἔλαιον; Σπανόν; Λιβυκόν; Κιλίκιον; Σαβῖνον ; τὸ κατὰ τὰς Κυκλάδας νήσους ; τὸ κατὰ τὴν Ἑλλάδα ; τὸ κατὰ τὴν Ἀσίαν. ; ῥόδινον; μήλινον; κρίνινον; category inherited from bundle source
