row_idx,author,book,chapter,lemma_gr,lemma_en,edition_pages,chapter_gr,section_gr,var_par_prod_gr,entry_gr,var_par_prod_en,entry_en,book_no_gr,chapter_no_gr,cat,lemma_derived,derived_from
190,paul,7,3,ἐλλέβορος ἑκάτερος,,2.210,,Ἐλλέβορος ἑκάτερος,,"Ἐλλέβορος ἑκάτερος θερμαίνει καὶ ξηραίνει κατὰ τὴν τρίτην ἀπόστασιν, ἔστι δὲ καὶ δριμὺς καὶ ῥυπτικός· ὅθεν πρὸς τὰ λεπρώδη τοῦ δέρματος ἁρμόττει. ὁ δὲ μέλας καὶ σύριγγας ἐν τρισὶν ἡμέραις ἐκτυλοῖ καθιέμενος.",,,,,,,
191,paul,7,3,ἐλίχρυσον:χρύσανθον:ἀμάραντον,,2.210,,"Ἐλίχρυσον, οἱ δὲ χρύσανθον, οἱ δὲ καὶ τοῦτο ἀμάραντον",,"Ἐλίχρυσον, οἱ δὲ χρύσανθον, οἱ δὲ καὶ τοῦτο ἀμάραντον, στεφανωματικόν ἐστι φυτὸν κόμην ἔχον χρυσοφανῆ· ἥτις σὺν οἴνῳ ποθεῖσα δυσουρίαις καὶ ἑρπετῶν δήγμασιν καὶ ἰσχιάσιν ἁρμόττει καὶ ῥήγμασιν ἔμμηνά τε ἄγει καὶ θρόμβους διαλύει σὺν οἰνομέλιτι ποθεῖσα καὶ κατάρροις βοηθεῖ.",,,,,,,alias_review
192,paul,7,3,ἑλξίνη:περδίκιον:παρθένιον:σιδηρῖτις:ἡράκλεια,,2.210,,"Ἑλξίνη, οἱ δὲ περδίκιον, οἱ δὲ παρθένιον, οἱ δὲ σιδηρῖτιν, οἱ δὲ Ἡρακλείαν",,"Ἑλξίνη, οἱ δὲ περδίκιον, οἱ δὲ παρθένιον, οἱ δὲ σιδηρῖτιν, οἱ δὲ Ἡρακλείαν, δύναμις δὲ αὐτῇ ῥυπτική τε καὶ ἀτρέμα στυπτικὴ μεθ' ὑγρότητος ὑποψύχρου.",,,,,,,alias_review
193,paul,7,3,ἑλξίνη:κισσάμπελος,,2.210,,Ἑλξίνη ἡ καὶ κισσάμπελος,,Ἑλξίνη ἡ καὶ κισσάμπελος διαφορητικῆς ἐστι δυνάμεως.,,,,,,,alias_review
194,paul,7,3,ἔλυμος:μελίνη,,2.210,,Ἔλυμος ἡ καὶ μελίνη,,Ἔλυμος ἡ καὶ μελίνη ὁμοία ἐστὶ κέγχρῳ ξηραντική τε καὶ ψυκτικὴ τὴν δύναμιν ἔξωθεν ἐπιπλασθεῖσα· ξηραίνει δὲ καὶ τὰ κατὰ γαστέρα ῥεύματα.,,,,,,,alias_review
195,paul,7,3,ἔμπετρον:πρασοειδές,,2.210,,Ἔμπετρον ἢ πρασοειδὲς,,Ἔμπετρον ἢ πρασοειδὲς καθαρτικόν ἐστι φάρμακον ἄγον φλέγμα καὶ χολήν. ἔστι δὲ καὶ ἁλυκόν· δι' ὃ καὶ ῥυπτικὸν ἂν εἴη.,,,,,,,
196,paul,7,3,ἐπίθυμον,,2.210,,Ἐπίθυμον,,Ἐπίθυμον ξηραίνει καὶ θερμαίνει κατὰ τὴν τρίτην ἀπόστασιν δραστικώτερον θύμου.,,,,,,,
197,paul,7,3,ἐπιμήδιον,,2.210,,Ἐπιμηδίου,,Ἐπιμηδίου ἡ δύναμις ψυκτικὴ μετρίως ἐστὶ μεθ' ὑγρότητος ὑδατώδους· ἥτις καταπλασσομένη μαστοὺς ὀρθίους διαφυλάττει· λέγεται δὲ καὶ ἄτοκος πινομένη.,,,,,,,
198,paul,7,3,ἐπιμηλίς,,2.210,,Ἐπιμηλίς,,"Ἐπιμηλίς, ἥτις καὶ οὐνέδων παρὰ τοῖς Ἰταλικοῖς ἀγροίκοις καλεῖται, ἔστι δὲ οἷον ἀγρία μηλέα· ἧς ὁ καρπὸς στρυφνὸς μέν ἐστι, κακοστόμαχος δὲ καὶ κεφαλαλγής.",,,,,,,
199,paul,7,3,ἐπιτακτίς:ἐλλεβορίνη,,2.211,,"Ἐπιτακτίς, οἱ δὲ ἐλλεβορίνην",,"Ἐπιτακτίς, οἱ δὲ ἐλλεβορίνην, πίνεται πρὸς τὰ θανάσιμα καὶ τὰ καθ' ἧπαρ νοσήματα.",,,,,,,alias_review
200,paul,7,3,ἐρέβινθος,,2.211,,Ἐρέβινθος,,"Ἐρέβινθος. τὸ μὲν σύνηθες ὄσπριον φυσῶδές ἐστι, τρόφιμον, εὐκοίλιον, διουρητικόν, γάλακτος καὶ σπέρματος γεννητικόν, καταμηνίων ἀγωγόν, οἱ δὲ κριοὶ καλούμενοι τῶν ἄλλων εἰσὶν οὐρητικώτεροι, τὸ δὲ ἀφέψημα αὐτῶν καὶ λίθους τοὺς ἐν νεφροῖς θρύπτει, καὶ μάλιστα τῶν μελάνων. οἱ δὲ ὀροβιαῖοι καλούμενοι θερμότεροι τούτων εἰσὶ καὶ ὑπόπικροι. οἱ δὲ ἄγριοι κατὰ πάντα τῶν ἡμέρων εἰσὶν ἰσχυρότεροι.",,,,,,,
201,paul,7,3,ἔρια,,2.211,,Ἔρια,,"Ἔρια τὰ μὲν ῥυπαρὰ χρήσιμα πρὸς τὰς ἐπιβροχάς εἰσι· πεπτικὸς γὰρ αὐτῶν ὁ οἴσυπος παραπλησίως τῷ βουτύρῳ· τὰ δὲ μὴ ῥυπαρὰ ὕλη μόνον εἰσί. τὰ δὲ κεκαυμένα δύναμιν ἔχει δριμεῖάν τε καὶ θερμὴν καὶ ξηρὰν ἅμα λεπτομερείᾳ, ὡς καὶ τὰς πλαδαρὰς σάρκας ἐπὶ τῶν ἑλκῶν ἀποτήκειν τάχιστα.",,,,,,,
202,paul,7,3,ἐρίκη,,2.211,,Ἐρίκη,,Ἐρίκη διαφορητικῆς ἀδήκτως ἐστὶ δυνάμεως· τῷ δὲ ἄνθει μάλιστα καὶ τοῖς φύλλοις αὐτῆς χρηστέον.,,,,,,,
203,paul,7,3,ἔρινος ἔφυδρός,,2.211,,Ἔρινος ἔφυδρός,,"Ἔρινος ἔφυδρός ἐστι πόα· τοῦ καρποῦ 𐅻 β μετὰ μέλιτος 𐅻 δ ἐγχριόμεναι ῥεῦμα ὀφθαλμῶν ἱστᾶσιν, ὁ δὲ χυλὸς ποιεῖ πρὸς ὠταλγίαν.",,,,,,,
204,paul,7,3,ἑρμοδακτύλου,,2.211,,Ἑρμοδακτύλου,,"Ἑρμοδακτύλου ἡ ῥίζα καθαρτικῆς ἐστι δυνάμεως αὐτή τε καὶ τὸ ἀφέψημα αὐτῆς, ἰδίως δὲ τοῖς ἀρθριτικοῖς ἐν αὐτοῖς τοῖς ῥευματισμοῖς δίδοται· ἔστι δὲ κακοστόμαχος ἱκανῶς.",,,,,,,
205,paul,7,3,ἕρπυλλος,,2.211,,Ἕρπυλλος,,"Ἕρπυλλος θερμαίνει, ὥστε καὶ οὖρα καὶ καταμήνια κινεῖν.",,,,,,,
206,paul,7,3,ἐρυθρόδανον,,2.211,,Ἐρυθρόδανον,,"Ἐρυθρόδανον (ἔστι δὲ ἡ τῶν βαφέων ἐρυθρὰ ῥίζα στρυφνὴ καὶ πικρὰ σπλῆνά τε καὶ ἧπαρ καὶ νεφροὺς διακαθαίρουσα, ὥστε καὶ αἱματώδη οὐρεῖν) καταμήνιά τε κινεῖ καὶ τὰ περὶ τὸ δέρμα ἀπορρύπτει.",,,,,,,
207,paul,7,3,ἐρυσίμου,,2.211-212,,Ἐρυσίμου,,Ἐρυσίμου τὸ σπέρμα πυρῶδές τε καὶ θερμαντικόν ἐστιν ἐπ' ἴσης καρδάμῳ· δι' ὅπερ ὀπτηθὲν ἐν ζύμῃ τοῦ θώρακός ἐστι καθαρτικὸν ἐν ἐλλείγμασι καὶ σκληρίας μαλάσσει καὶ τοὺς κρυπτοὺς καρκίνους ὠφελεῖ καταπλασσόμενον.,,,,,,,
208,paul,7,3,εὔζωμον,,2.212,,Εὔζωμον,,Εὔζωμον καὶ αὐτὸ παραπλησίας ὂν κράσεως φυσῶδές ἐστι· δι' ὃ καὶ εἰς συνουσίαν παρορμᾷ· τὸ δὲ σπέρμα αὐτοῦ καὶ οὐρητικόν ἐστιν. τοῦ δὲ ἡμέρου τὸ ἄγριον ἰσχυρότερον.,,,,,,,
209,paul,7,3,εὐπατόριον,,2.212,,Εὐπατόριον,,Εὐπατόριον λεπτομεροῦς καὶ τμητικῆς ἐστι δυνάμεως ἄνευ θερμότητος ἐπιφανοῦς· ὅθεν καὶ τὰς καθ' ἧπαρ ἐμφράξεις καθαίρει. ἔχει δέ τι καὶ στύψεως.,,,,,,,
210,paul,7,3,εὐφόρβιον,,2.212,,Εὐφόρβιον,,Εὐφόρβιον καυστικῆς ἐστι δυνάμεως καὶ λεπτομεροῦς ὁμοίως τοῖς ἄλλοις ὀποῖς.,,,,,,,
211,paul,7,3,ἐφήμερον,,2.212,,Ἐφήμερον,,"Ἐφήμερον, οὐ τὸ δηλητήριον, ἀλλ' ὅπερ ἶρις ἀγρία καλεῖται, μικτῆς ἐστι δυνάμεως ἀποκρουστικῆς τε καὶ διαφορητικῆς.",,,,,,,
212,paul,7,3,ἐχίδνης,,2.212,,Ἐχίδνης,,Ἐχίδνης αἱ σάρκες θερμαὶ καὶ ξηραὶ τὴν κρᾶσιν ἐναργῶς εἰσιν ἐκκαθαίρουσαι διὰ τοῦ δέρματος ὅλον τὸ σῶμα· δι' ὃ πολλοὶ τῶν ἐλεφαντιώντων ἐσθίοντες ἢ πίνοντες αὐτὰς ἰάθησαν. αἱ δὲ ἐν παραθαλασσίοις ἢ ἄλλοις ξηροῖς διαιτώμεναι χωρίοις καὶ διψώδεις μᾶλλόν εἰσιν.,,,,,,,
213,paul,7,3,ἐχῖνος,,2.212,,Ἐχῖνος,,"Ἐχῖνος ἡ μὲν πόα στρυφνή τέ ἐστι καὶ ἀποκρουστικὴ καὶ ξηραντική, τοῦ δὲ χερσαίου ἐχίνου τοῦ ζῴου ἡ μὲν σὰρξ σκελετευθεῖσα ἰσχυρῶς ἐστι διαφορητικὴ καὶ ξηραντική· ποθεῖσα γοῦν ἐλεφαντιῶσι καὶ καχέκταις καὶ ἄλλοις βοηθεῖ πλείοσι. τὸ δὲ δέρμα αὐτοῦ καυθὲν ξηραντικώτερόν τε καὶ διαφορητικώτατον γίνεται· ἀλωπεκίας γοῦν μετὰ πίσσης ὑγρᾶς καταχριόμενον ἰᾶται. τοῦ δὲ θαλαττίου τὸ μὲν ἐδώδιμον οὐρητικόν τέ ἐστι καὶ εὐκοίλιον, τὸ δὲ ὄστρακον καυθὲν παραπλήσιον τῷ τοῦ χερσαίου γίνεται.",,,,,,,
214,paul,7,3,ἔχιον:δωριάς:ἀλκιβιάδειον,,2.212-213,,"Ἔχιον, οἱ δὲ Δωριάδα, ἔνιοι δὲ καὶ ταύτην Ἀλκιβιάδειον",,"Ἔχιον, οἱ δὲ Δωριάδα, ἔνιοι δὲ καὶ ταύτην Ἀλκιβιάδειον, ἀκανθώδης ἐστὶ πόα, ἥτις οὐ μόνον τοῖς δηχθεῖσιν ὑπὸ ἑρπετοῦ βοηθεῖ ποθεῖσα μετ' οἴνου, ἀλλὰ καὶ προποθεῖσα τοὺς δακνομένους ἀβλαβεῖς διαφυλάττει.",,,,,,,alias_review
215,paul,7,3,ἕψημα,,2.213,,Ἕψημα,,"Ἕψημα τὸ ἑψηθὲν γλεῦκος, οἱ δὲ σίραιον προσαγορεύουσιν, θερμαῖνόν τε μετρίως καὶ συμπέττον· ἔστι δὲ ἐμπλαστικόν τε καὶ ἄδηκτον.",,,,,,,
216,paul,7,3,ζειά,,2.213,,Ζειὰ,,"Ζειὰ παραπλησίαν ἔχει τοῖς πυροῖς δύναμιν μεταξὺ μὲν οὖσα τοῦ θερμαίνειν τε καὶ ψύχειν, ἠρέμα δὲ ξηραίνουσα· ἔστι δὲ καὶ ἐμπλαστική.",,,,,,,
217,paul,7,3,ζιγγιβέρεως,,2.213,,Ζιγγιβέρεως,,"Ζιγγιβέρεως ἡ ῥίζα θερμαίνει μὲν ἰσχυρῶς, ἀλλ' οὐ κατὰ τὴν πρώτην προσβολήν, ἀκατεργάστου τινὸς καὶ παχυμερεστέρας μετέχον ὑγρότητος, δι' ἣν καὶ τιτρᾶται ῥᾳδίως, μόνιμον δὲ φυλάττει τὴν θερμότητα.",,,,,,,
218,paul,7,3,ζύθος,,2.213,,Ζύθος,,Ζύθος σύνθετός ἐστι τὴν οὐσίαν· καὶ γὰρ δριμὺς ὡς ἂν ἐκ σηπεδόνος γεγενημένος καὶ ψυχρὸς ἐκ τῆς ὀξώδους ποιότητος· δι' ὃ καὶ κακόχυμος.,,,,,,,
219,paul,7,3,ζύμη,,2.213,,Ζύμη,,Ζύμη καὶ αὐτὴ ἐξ ἐναντίων οὐσιῶν σύγκειται· καὶ γὰρ ὀξύτητος μετέχει ψυχρᾶς καὶ σηπεδονώδους θερμότητος καὶ προσέτι τῆς ἐκ τῶν ἁλῶν καὶ τοῦ ἀλεύρου· ἔστιν οὖν οὐ μετρίως θερμὴ καὶ διαφορητική.,,,,,,,
220,paul,7,3,ζωμός,,2.213,,Ζωμὸς,,"Ζωμὸς ὁ μὲν ἀπὸ τῶν νεαρῶν ἰχθύων κοιλίας ἐστὶν ὑπαγωγὸς καθ' ἑαυτόν τε καὶ μετ' οἴνου πινόμενος, ἰδίως δὲ ὁ ἀπὸ φυκίδων καὶ σκορπίων καὶ ἰούλων καὶ περκῶν καὶ τῶν ἁπαλῶν πετραίων λιτὸς μεθ' ὕδατος καὶ ἐλαίου καὶ ἀνήθου καὶ ἁλῶν· ὁμοίως δὲ καὶ ὁ τῶν ὀστρακοδέρμων, μάλιστα τελλίνων, χημῶν, κογχαρίων. καὶ ὁ τοῦ παλαιοῦ δὲ ἀλεκτρυόνος σὺν ἁλσὶν ἐπὶ πλεῖστον ἑψηθέντος ὑπακτικὸς γίνεται· ὁ δέ γε τῆς ἀλεκτορίδος τοὐναντίον ἐπικρατητικός.",,,,,,,
221,paul,7,3,ἡδύοσμον,,2.214,,Ἡδύοσμον,,"Ἡδύοσμον θερμὸν καὶ λεπτομερὲς καὶ δριμὺ τὴν δύναμίν ἐστιν ἐκ τῆς τρίτης που τάξεως μεθ' ὑγρότητος ἡμιπέπτου, δι' ἣν καὶ εἰς συνουσίαν παρορμᾷ. ἔχει δέ τι καὶ πικρόν· δι' ὃ τὰς ἕλμινθας ἀναιρεῖ. τῷ δὲ στρυφνῷ τὰς προσφάτους ἀναγωγὰς τοῦ αἵματος ἐπέχει.",,,,,,,
222,paul,7,3,ἡδύσαρον:πελεκῖνος,,2.214,,Ἡδύσαρον ἢ πελεκῖνος,,Ἡδύσαρον ἢ πελεκῖνος πικρὸν καὶ ὑποστῦφόν ἐστιν· ὅθεν εὐστόμαχόν τε γίνεται πινόμενον ἐκκαθαίρει τε τὰς τῶν σπλάγχνων ἐμφράξεις.,,,,,,,
223,paul,7,3,ἡλιοτρόπιον μέγα:σκορπίουρον,,2.214,,"Ἡλιοτρόπιον μέγα, ὃ δὴ καὶ σκορπίουρον καλοῦσιν",,"Ἡλιοτρόπιον μέγα, ὃ δὴ καὶ σκορπίουρον καλοῦσιν, θερμῆς καὶ ξηρᾶς καὶ ῥυπτικῆς ἐστι δυνάμεως· οὗ τὸ ἀφέψημα ποθὲν ἄγει φλέγμα καὶ χολήν, καταπλασσόμενος δὲ ὁ καρπὸς αὐτοῦ μυρμηκίας καὶ τὰ παραπλήσια ξηραίνει. τὸ δὲ μικρὸν καὶ ταῦτα μὲν αἴρει, καὶ ἕλμινθας δὲ κτείνει μετὰ τοῦ καρποῦ πινόμενον σὺν νίτρῳ καὶ ὑσσώπῳ καὶ καρδάμῳ.",,,,,,,alias_review
224,paul,7,3,ἤλεκτρον,,2.214,,Ἤλεκτρον,,Ἤλεκτρον τὸ τῆς αἰγείρου δάκρυόν φασι κατὰ τὸν Ἠριδανὸν ποταμὸν ἀποχεόμενον καὶ πηγνύμενον χρυσοειδές· ὅπερ πινόμενον λεῖον στομάχου καὶ κοιλίας ῥεῦμα καὶ αἷμα ἐπέχει.,,,,,,,
225,paul,7,3,ἡμεροκαλλοῦς,,2.214,,Ἡμεροκαλλοῦς,,Ἡμεροκαλλοῦς ἡ ῥίζα παραπλησίαν ἔχουσα τῇ τοῦ κρίνου δύναμιν ὁμοίως ἐκείνῳ τὰ πυρίκαυτα ὠφελεῖ.,,,,,,,
226,paul,7,3,ἡμιονῖτις,,2.214,,Ἡμιονῖτις,,Ἡμιονῖτις στύψεως ἅμα πικρότητι μετέχει· δι' ὃ καὶ σπληνικοὺς ὠφελεῖ σὺν ὄξει πινομένη.,,,,,,,
227,paul,7,3,ἧπαρ,,2.214-215,,Ἧπαρ,,"Ἧπαρ τὸ μὲν τοῦ λυττῶντος κυνὸς ὀπτηθέν, εἰ βρωθείη, τοῖς ὑπ' αὐτοῦ δηχθεῖσί φασι βοηθεῖν, τοῦ δὲ τῆς αἰγὸς ὀπτωμένου τὸν ἰχῶρα νυκτάλωπας ὠφελεῖν ἐνσταζόμενον· καὶ τὸν ἀτμὸν δὲ αὐτοῦ δέχεσθαι τοῖς ὀφθαλμοῖς ἑψομένου κελεύουσι καὶ αὐτὸ ἐσθίειν, ἐλέγχειν τε τοὺς ἐπιληπτικούς, εἰ βρωθείη. ταὐτὰ δὲ ποιεῖν καὶ τὸ τράγειόν φασι· τὸ δὲ τῆς σαύρας ἐντεθὲν ὀδοῦσι βεβρωμένοις ἀνωδυνίαν ποιεῖν. τὸ δὲ τοῦ λύκου καὶ εἰς τὸ δι' εὐπατορίου φάρμακον ἡπατικὸν ἐμβάλλεται. τὸ δὲ ὄνειον ὀπτὸν ἐπιληπτικοὶ νήστεις ἐσθίοντες βοηθοῦνται. τὸ δὲ τοῦ κάπρου νεαρὸν ξηρανθὲν λεῖον σὺν οἴνῳ πρὸς ἑρπετῶν πίνεται δήγματα. τὸ δὲ τῆς αἰθυίας ξηρὸν πινόμενον λίθους ἐκβάλλει.",,,,,,,
228,paul,7,3,ἠριγέρων,,2.215,,Ἠριγέρων,,Ἠριγέρων ἐπίμικτον ἔχει δύναμιν ψυκτικήν τε καὶ μετρίως διαφορητικήν.,,,,,,,
229,paul,7,3,ἠρύγγιον,,2.215,,Ἠρύγγιον,,"Ἠρύγγιον θερμαίνει μὲν οὐ καταφανῶς, ξηρότητος δὲ λεπτομεροῦς οὐκ ὀλίγης μετέχει.",,,,,,,
230,paul,7,3,θαλάσσιον ὕδωρ,,2.215,,Θαλάσσιον ὕδωρ,,"Θαλάσσιον ὕδωρ δριμὺ καὶ θερμαντικὸν μετρίως καὶ ξηραντικόν ἐστι καὶ κακοστόμαχον μὲν πινόμενον, κοιλίας δὲ ταρακτικὸν καὶ φλεγμάτων ἀγωγόν· θερμὸν δὲ καταντλούμενον ἐπισπᾶται καὶ διαφορεῖ.",,,,,,,
231,paul,7,3,θαλίητρον,,2.215,,Θαλίητρον,,Θαλίητρον δύναμιν ἔχει ξηραντικὴν χωρὶς δήξεως· ἐπουλοῖ γοῦν τὰ χρόνια ἕλκη.,,,,,,,
232,paul,7,3,θαψία,,2.215,,Θαψία,,Θαψία δριμεῖα καὶ ἰσχυρῶς ἐστι θερμαντικὴ σὺν ὑγρότητι· ἕλκει τοιγαροῦν ἐκ βάθους βιαίως καὶ αὐτὴ διαφορεῖ τὸ ἑλχθέν.,,,,,,,
233,paul,7,3,θεῖον,,2.215,,Θεῖον,,"Θεῖον ἑλκτικῆς ἐστι καὶ αὐτὸ δυνάμεως θερμόν τε καὶ λεπτομερές, ὥστε πρὸς πολλὰ τῶν ἰοβόλων ἀνθίστασθαι, καὶ μάλιστα ἐπί τε τρυγόνος θαλασσίας καὶ δράκοντος, ἤτοι ξηρὸν ἐπιπαττόμενον ἢ καὶ μιγνύμενον σιάλῳ ἢ οὔρῳ παιδὸς ἢ ἐλαίῳ ἢ μέλιτι· καὶ τὰ ψωρώδη δὲ θαυμαστῶς ἰᾶται.",,,,,,,
234,paul,7,3,θέρμος,,2.215,,Θέρμος,,"Θέρμος ὁ μὲν ἐδώδιμος ἐμπλαστικῆς ἐστι δυνάμεως, ὁ δὲ πικρὸς ῥυπτικός τε καὶ διαφορητικὸς καὶ ξηραίνων ἀδήκτως· ἕλμεις τε γοῦν ἀναιρεῖ ἐπιπλαττόμενός τε καὶ πινόμενος καὶ τὰ σπλάγχνα διακαθαίρει μετὰ πηγάνου καὶ πεπέρεως πινόμενος καὶ τὰ περὶ τὸ δέρμα διασμήχει καὶ ὄγκους διαφορεῖ μετ' ὀξυμέλιτος καταπλαττόμενος. ὁ δὲ ἄγριος πικρότερός τε καὶ ἰσχυρότερός ἐστι κατὰ πάντα τοῦ ἡμέρου.",,,,,,,
235,paul,7,3,θηλύπτερον:νυμφαία πτέρις,,2.216,,"Θηλύπτερον, ἣν ἔνιοι νυμφαίαν πτέριν ὀνομάζουσιν",,"Θηλύπτερον, ἣν ἔνιοι νυμφαίαν πτέριν ὀνομάζουσιν, παρεοικυῖα τῇ πτέριδι καὶ κατὰ τὴν δύναμιν· ἥτις ποθεῖσα μετ' οἴνου πλατείας τε καὶ στρογγύλας ἕλμεις κτείνει· ἔστι δὲ καὶ φθόριος ἐμβρύων. τὰ δὲ φύλλα αὐτῆς βρωθέντα κοιλίαν μαλάσσει.",,,,,,,alias_review
236,paul,7,3,θλάσπι,,2.216,,Θλάσπι,,Θλάσπι σπέρμα ἐστὶ δριμὺ τὴν δύναμιν· ὥστε καὶ τὰ ἐντὸς ἀποστήματα ῥήσσει πινόμενον καὶ καταμήνια κινεῖ καὶ δι' ἕδρας ἐνιέμενον ἰσχιαδικοὺς ὀνίνησιν αἱματώδη κενοῦν καὶ ἄλλως καθαρτικὸν ἄνω τε καὶ κάτω χολωδῶν ὀξυβάφου πλῆθος πινόμενον.,,,,,,,
237,paul,7,3,θρίδαξ,,2.216,,Θρίδαξ,,"Θρίδαξ ὑγρὸν καὶ ψυχρόν ἐστι λάχανον οὐκ ἐσχάτως ἀλλὰ κατὰ τὴν τῶν κρηναίων ὑδάτων κρᾶσιν, ὥστε πρὸς τὰς θερμὰς φλεγμονὰς ἁρμόττειν· ἔστι δὲ καὶ ἄδιψος καὶ γονορροίαν ἐπέχει καὶ ὀνειρωγμοὺς πινομένη. ἡ δὲ ἀγρία ταύτης ἧττον ψύχει τε καὶ ὑγραίνει, ἔστι δὲ ὀπωδεστέρα.",,,,,,,
238,paul,7,3,θύμος,,2.216,,Θύμος,,Θύμος θερμαίνει τε καὶ ξηραίνει κατὰ τὴν τρίτην τάξιν· ἔστι δὲ τμητικὸς τῶν γλίσχρων καὶ παχέων χυμῶν.,,,,,,,
239,paul,7,3,θύμβρα,,2.216,,Θύμβρα,,"Θύμβρα ἡ μὲν ἀγρία τὰ αὐτὰ τῷ θύμῳ δύναται, ἡ δὲ κηπευτὴ κατὰ πάντα μὲν ἀσθενεστέρα, πρὸς δὲ βρῶσιν βελτίων.",,,,,,,
240,paul,7,3,θυμελαία,,2.216,,Θυμελαία,,Θυμελαία. ἐκ ταύτης ὁ Κνίδιος κόκκος γίνεται παραπλησίαν αὐτῷ δύναμιν ἔχουσα.,,,,,,,
241,paul,7,3,ἰδαία ῥίζα,,2.216,,Ἰδαία ῥίζα,,Ἰδαία ῥίζα στρυφνὴ τὴν γεῦσίν τε καὶ τὴν δύναμιν ὑπάρχουσα πρὸς αἱμορραγίας τε καὶ ῥευματικὰς ἁρμόζει διαθέσεις πινομένη τε καὶ ἔξωθεν ἐπιτιθεμένη.,,,,,,,
242,paul,7,3,ἱδρῶτα,,2.216-217,,Ἱδρῶτα,,"Ἱδρῶτα καθ' αὑτὸν μὲν συνάγειν ἐργῶδές ἐστι, μίγνυται δὲ ἐν ταῖς παλαίστραις τῶν γυμναζομένων τῷ πάτῳ τὸ ἀποκρουστικὸν μόνον ἔχοντι, καὶ γίνεται τὸ ὅλον διαφορητικόν· ἐπὶ γοῦν τῶν φλεγμαινόντων τιτθῶν δραστικόν ἐστι βοήθημα καὶ πρὸς τὸ σβέσαι τὸ τετυρωμένον αὐτοῖς· ποιεῖ δὲ καὶ πρὸς βουβῶνας. εἰ δὲ ξηρότερον εἴη, συμμαλακτέον αὐτὸ κυπρίνῳ ἢ ῥοδίνῳ.",,,,,,,
243,paul,7,3,ἰξός,,2.217,,Ἰξὸς,,"Ἰξὸς θερμαίνει μετὰ δριμύτητος· ἕλκει γοῦν ἐκ τοῦ βάθους ἰσχυρῶς καὶ διαφορεῖ παραπλησίως τῇ θαψίᾳ, πολλῷ δὲ ἐκείνης ἐστὶν ἀργότερος.",,,,,,,
244,paul,7,3,ἴου,,2.217,,Ἴου,,Ἴου τὰ φύλλα τὴν ὑδατώδη καὶ ὑπόψυχρον ἐπικρατοῦσαν οὐσίαν κέκτηται.,,,,,,,
245,paul,7,3,ἰός,,2.217,,Ἰὸς,,"Ἰὸς δριμεῖαν ἔχει ποιότητα γευομένοις διαφορητικός τε καὶ καθαιρετικὸς καὶ τμητικὸς ὑπάρχων οὐχ ἁπαλῆς μόνον ἀλλὰ καὶ σκληρᾶς σαρκός· εἰ δέ τις ὀλίγον αὐτοῦ μίξειε πολλῇ κηρωτῇ, ῥυπτικὸν ἀδήκτως ἐργάσεται φάρμακον.",,,,,,,
246,paul,7,3,ἱππόκαμπος θαλάσσιόν,,2.217,,Ἱππόκαμπος θαλάσσιόν,,"Ἱππόκαμπος θαλάσσιόν ἐστι ζῷον, οὗ καυθέντος ἡ τέφρα σὺν πίσσῃ ὑγρᾷ ἀλωπεκίας δασύνει.",,,,,,,
247,paul,7,3,ἱππολάπαθον,,2.217,,Ἱππολάπαθον,,Ἱππολάπαθον ἐν ἕλεσι γίνεται λαπάθῳ παραπλήσιον ὑπάρχον.,,,,,,,
248,paul,7,3,ἱππομάραθρον,,2.217,,Ἱππομάραθρον,,"Ἱππομάραθρον τὸ μὲν κάχρυι προσεοικὸς ξηραντικώτερόν ἐστι τοῦ μαράθρου· δι' ὃ καὶ τὴν γαστέρα ἵστησι καὶ λίθους θρύπτει καὶ καταμήνια κινεῖ· τὸ δὲ σπέρμα ἔχον ὅμοιον τῷ τοῦ κοριάννου παραπλήσιον μὲν ἐκείνῳ, ἀσθενέστερον δέ.",,,,,,,
249,paul,7,3,ἱπποποτάμου ὄρχις,,2.217,,Ἱπποποτάμου ὄρχις,,Ἱπποποτάμου ὄρχις ξηρὸς πίνεται πρὸς ἑρπετῶν δήγματα.,,,,,,,
250,paul,7,3,ἱπποσέλινον,,2.217,,Ἱπποσέλινον,,"Ἱπποσέλινον παραπλησίαν ἔχει τῷ σελίνῳ τὴν δύναμιν, ἀσθενέςτερον δέ.",,,,,,,
251,paul,7,3,ἵππουρις,,2.217,,Ἵππουρις,,Ἵππουρις στυπτικὴν μετὰ πικρότητος ἔχει ποιότητα καὶ διὰ τοῦτο ξηραίνει ἰσχυρῶς τε ἅμα καὶ ἀδήκτως· τραύματα γοῦν τὰ μέγιστα κολλᾷ καὶ ἐντεροκήλας ὀνίνησι καὶ τὰ ῥοώδη τῶν παθῶν ἰᾶται μετ' οἴνου πινομένη.,,,,,,,
