row_idx,author,book,chapter,lemma_gr,lemma_en,edition_pages,chapter_gr,section_gr,var_par_prod_gr,entry_gr,var_par_prod_en,entry_en,book_no_gr,chapter_no_gr,cat,lemma_derived,derived_from
11,paul,7,3,ἀθήρα,,2.188,,Ἀθήρα,,Ἀθήρα πολτάριόν ἐστι ῥοφηματῶδες ἐκ τῆς ἀληλεσμένης ζειᾶς ἢ ἀπὸ σίτου σκευαζόμενον παιδίοις ἁρμόζον· ποιεῖ δὲ καὶ εἰς κατάπλασμα.,,,,,,,
12,paul,7,3,αἰγίλωψ,,2.188,,Αἰγίλωψ,,"Αἰγίλωψ διαφορητικὴν ἔχει δύναμιν, ὅθεν τὰς σκληρυνομένας φλεγμονὰς καὶ τοὺς αἰγίλωπας ἰᾶται.",,,,,,,
13,paul,7,3,αἴγειρος,,2.188,,Αἴγειρος,,"Αἴγειρος θερμαίνει μὲν κατὰ τὴν πρώτην τάξιν, ξηραίνει δὲ μετρίως καὶ λεπτομερής ἐστιν· ἧς τὰ μὲν φύλλα μετ' ὄξους καταπλασσόμενα ποδαγρικὰς ὀδύνας παύει, ἡ δὲ ἐξ αὐτῆς ῥητίνη θερμοτέρα τῶν ἀνθῶν οὖσα μίγνυται ἀκόποις τε καὶ μαλάγμασιν· ὁ καρπὸς δὲ μετ' ὄξους πινόμενος ἐπιληπτικοὺς ὠφελεῖ.",,,,,,,
14,paul,7,3,αἰδοῖον ἄρρενος ἐλάφου,,2.188,,Αἰδοῖον ἄρρενος ἐλάφου,,"Αἰδοῖον ἄρρενος ἐλάφου ξηρανθέν τε καὶ λεῖον σὺν οἴνῳ ποθὲν ἐχεοδήκτοις βοηθεῖ, μίγνυται δὲ καὶ συνθέτοις δυνάμεσιν.",,,,,,,
15,paul,7,3,αἰθάλη:λίγνυς,,2.188,,Αἰθάλη καὶ λίγνυς,,Αἰθάλη καὶ λίγνυς κατὰ τὸ λ ῥηθήσεται.,,,,,,,
16,paul,7,3,αἰθιοπίς,,2.188,,Αἰθιοπὶς,,"Αἰθιοπὶς παραπλήσια μὲν ἔχει φλόμῳ τὰ φύλλα, τῆς δὲ ῥίζης αὐτῆς τὸ ἀφέψημα πινόμενον ἰσχιαδικοῖς βοηθεῖ πλευριτικοῖς τε καὶ αἱμοπτυϊκοῖς ἀρτηρίας τε τραχύτητι μετὰ μέλιτος.",,,,,,,
17,paul,7,3,αἷμα,,2.188-189,,Αἷμα,,"Αἷμα ψυχρὸν οὐδέν ἐστιν, ἀλλὰ τὸ μὲν τῶν ὑῶν ὑγρόν τέ ἐστι καὶ ἧττον θερμόν, ἀνθρωπείῳ μάλιστα τὴν κρᾶσιν ἐοικός, τὸ δὲ τῶν περιστερῶν καὶ φάττης καὶ τρυγόνος εὔκρατόν πως ὑπάρχον τὰ ἐν τοῖς ὀφθαλμοῖς ὑποσφάγματα ἰᾶται θερμὸν ἐνσταζόμενον καὶ τῇ παχείᾳ μήνιγγι ἐγχεόμενον ἐπὶ τῶν ἀνατρηθέντων ἀφλέγμαντόν ἐστιν· τὸ δὲ τῆς γλαυκὸς σὺν οἴνῳ πινόμενον ἢ ὕδατι δύσπνοιαν ὀνίνησι. τὸ δὲ τῶν νυκτερίδων τιτθούς τε διαφυλάττει παρθένων, καὶ ἄτριχον εἶναί φασι καταχριόμενον, ὡσαύτως δὲ καὶ τὸ τῶν βατράχων καὶ τὸ τοῦ χαμαιλέοντος καὶ τὸ τῶν κροτώνων τῶν κυνῶν· ὁ δὲ Γαληνὸς πειράσας ἐψεῦσθαι ταῦτά φησι. τὸ δὲ τῶν αἰγῶν διὰ ξηρότητα τοὺς ὑδεριῶντας ὠφελεῖ μετὰ μέλιτος πινόμενον καὶ τοὺς ἐν νεφροῖς λίθους θρύπτει. τὸ δὲ τῶν κατοικιδίων ὀρνίθων αἱμορραγίας μηνίγγων ἐπέχει. τὸ δὲ τῶν ἀρνῶν ἐπιληπτικοὺς ὠφελεῖ, τὸ δὲ τῶν ἐρίφων νεοπαγὲς ἔτι ὅσον ἡμικοτύλιον σὺν ἴσῳ ὄξει πινόμενον τοὺς ἀπὸ θώρακος αἷμα ἀνάγοντας ἰᾶται. τὸ δὲ τῶν ἄρκτων καὶ τῶν ἀγρίων αἰγῶν καὶ τράγων καὶ ταύρων ἀποστήματα πεπαίνειν φασίν. τὸ δὲ τοῦ χερσαίου κροκοδείλου ποιητικὸν ὀξυδορκίας ἐστίν. τὸ δὲ τῶν ὀχευτῶν ἵππων σηπταῖς μίγνυται δυνάμεσιν. ἡ δὲ δι' αἱμάτων ἀντίδοτος πρὸς τὰ θανάσιμα φάρμακα διδομένη καὶ νήττης αἷμα καὶ ἐρίφου καὶ χηνὸς δέχεται.",,,,,,,
18,paul,7,3,αἶρα,,2.189,,Αἶρα,,Αἶρα θερμαίνει καὶ ξηραίνει πλησίον τῆς τρίτης ἀποστάσεως ἴριδι τὴν δύναμιν ἴση τυγχάνουσα.,,,,,,,
19,paul,7,3,ἀκαλλίς,,2.189,,Ἀκαλλὶς,,"Ἀκαλλὶς θάμνου καρπός ἐστιν ἐν Αἰγύπτῳ γεννωμένου, οὗ τὸ ἀπόβρεγμα τοῖς πρὸς ὀξυδορκίαν κολλουρίοις μίγνυται.",,,,,,,
20,paul,7,3,ἀκακία,,2.189,,Ἀκακία,,"Ἀκακία τρίτης μέν ἐστι τῶν ξηραινόντων τάξεως, πρώτης δὲ τῶν ψυχόντων, εἰ δὲ πλυθείη, δευτέρας· ἔστι δὲ καὶ στρυφνὴ καὶ γεώδης.",,,,,,,
