entry_id,source,ref,chapter_title_gr,chapter_title_en,lemma_ids,part_id,greek,greek_normalized,translation,trans_status,e_vol,e_page_start,e_page_end,word_count,notes
PAUL_AEG-7.3.304,PAUL_AEG,7.3.304,"Κληματῖτις, οἱ δὲ δαφνοειδές, οἱ δὲ μυρσινοειδές, οἱ δὲ πολυγονοειδές",,,,"Κληματῖτις, οἱ δὲ δαφνοειδές, οἱ δὲ μυρσινοειδές, οἱ δὲ πολυγονοειδές, κλήματα ἔχει μακρὰ ὡς ὁλοσχοίνου τὸ πάχος, πέταλον δὲ ἐμφερὲς δάφνῃ. ξηραντικῆς ἐστι δυνάμεως· διαρροίας γοῦν καὶ δυσεντερίας καὶ ὀδόντων πόνους παύει καὶ θηριοδήκτοις ἁρμόζει.","κληματιτις, οι δε δαφνοειδες, οι δε μυρσινοειδες, οι δε πολυγονοειδες, κληματα εχει μακρα ως ολοσχοινου το παχος, πεταλον δε εμφερες δαφνη. ξηραντικης εστι δυναμεως· διαρροιας γουν και δυσεντεριας και οδοντων πονους παυει και θηριοδηκτοις αρμοζει.",,draft,2,226,226,35,paul_row=303; lemma_gr=κληματῖτις:δαφνοειδές:μυρσινοειδές:πολυγονοειδές; edition_pages=2.226; derived_from=alias_review
PAUL_AEG-7.3.305,PAUL_AEG,7.3.305,Κληματῖτις ἑτέρα,,,,"Κληματῖτις ἑτέρα περιελίττεται τοῖς δένδροις ὡς μῖλαξ δριμείας τε καὶ καυστικῆς οὖσα δυνάμεως. ταύτης ὁ καρπὸς μεθ' ὕδατος ποθεὶς ἄγει κάτω φλέγμα καὶ χολήν, τὰ δὲ φύλλα καταπλασθέντα λέπρας ἀφίστησιν.","κληματιτις ετερα περιελιττεται τοις δενδροις ως μιλαξ δριμειας τε και καυστικης ουσα δυναμεως. ταυτης ο καρπος μεθ' υδατος ποθεις αγει κατω φλεγμα και χολην, τα δε φυλλα καταπλασθεντα λεπρας αφιστησιν.",,draft,2,226,226,30,paul_row=304; lemma_gr=κληματῖτις ἑτέρα; edition_pages=2.226
PAUL_AEG-7.3.306,PAUL_AEG,7.3.306,Κλινοπόδιον,,,,Κλινοπόδιον θερμαντικῆς ἐστι δυνάμεως καὶ ξηραντικῆς οὐδέπω καυστικῆς ἀλλὰ τρίτης που τάξεως.,κλινοποδιον θερμαντικης εστι δυναμεως και ξηραντικης ουδεπω καυστικης αλλα τριτης που ταξεως.,,draft,2,226,226,12,paul_row=305; lemma_gr=κλινοπόδιον; edition_pages=2.226
PAUL_AEG-7.3.307,PAUL_AEG,7.3.307,Κνήκου,,,,"Κνήκου τῷ σπέρματι πρὸς τὰς καθάρσεις μόνον χρώμεθα· εἰ δέ τις ἔξωθεν αὐτῷ χρῷτο, τῆς τρίτης ἂν εἴη τῶν θερμαινόντων τάξεως.","κνηκου τω σπερματι προς τας καθαρσεις μονον χρωμεθα· ει δε τις εξωθεν αυτω χρωτο, της τριτης αν ειη των θερμαινοντων ταξεως.",,draft,2,226,226,21,paul_row=306; lemma_gr=κνήκου; edition_pages=2.226
PAUL_AEG-7.3.308,PAUL_AEG,7.3.308,Κογχύλια,,,,Κογχύλια παραπλησίας ἐστὶ τοῖς κήρυξι δυνάμεως.,κογχυλια παραπλησιας εστι τοις κηρυξι δυναμεως.,,draft,2,226,226,6,paul_row=307; lemma_gr=κογχύλια; edition_pages=2.226
PAUL_AEG-7.3.309,PAUL_AEG,7.3.309,Κοιλίαν αἰθυίας,,,,"Κοιλίαν αἰθυίας ἢ πρόσφατον ἑφθὴν ἢ σκελετευθεῖσαν εὐστόμαχον εἶναί φασιν, εἰ βρωθείη, ὁμοίως δὲ καὶ τὸν τῶν ἀλεκτορίδων ἔνδον τῆς κοιλίας χιτῶνα ξηρὸν πινόμενον, ἄμφω δὲ ψευδῆ φησιν ὁ Γαληνὸς εὑρηκέναι πειράσας. τὴν δὲ τῆς φήνης τοῦ ὀρνέου κοιλίαν κατ' ὀλίγον ποτιζομένην λίθους ἐξουρεῖσθαι ποιεῖν φησιν ὁ Διουσκουρίδης. ἡ δὲ τῆς γαλῆς κοιλία πινομένη παντὸς ἀλεξιφάρμακον θηρίου λέγεται.","κοιλιαν αιθυιας η προσφατον εφθην η σκελετευθεισαν ευστομαχον ειναι φασιν, ει βρωθειη, ομοιως δε και τον των αλεκτοριδων ενδον της κοιλιας χιτωνα ξηρον πινομενον, αμφω δε ψευδη φησιν ο γαληνος ευρηκεναι πειρασας. την δε της φηνης του ορνεου κοιλιαν κατ' ολιγον ποτιζομενην λιθους εξουρεισθαι ποιειν φησιν ο διουσκουριδης. η δε της γαλης κοιλια πινομενη παντος αλεξιφαρμακον θηριου λεγεται.",,draft,2,226,226,58,paul_row=308; lemma_gr=κοιλίαν αἰθυίας; edition_pages=2.226
PAUL_AEG-7.3.310,PAUL_AEG,7.3.310,Κόκκος Κνίδιος,,,,"Κόκκος Κνίδιος ὁ καρπός ἐστι τῆς θυμελαίας, οὐχ ὁ τῆς χαμελαίας, ὥς τινες ᾠήθησαν, δριμείας μὲν ὢν καὶ καυστικῆς δυνάμεως· καθαίρει δὲ κάτω ποθεὶς ὕδωρ.","κοκκος κνιδιος ο καρπος εστι της θυμελαιας, ουχ ο της χαμελαιας, ως τινες ωηθησαν, δριμειας μεν ων και καυστικης δυναμεως· καθαιρει δε κατω ποθεις υδωρ.",,draft,2,226,227,25,paul_row=309; lemma_gr=κόκκος κνίδιος; edition_pages=2.226-227
PAUL_AEG-7.3.311,PAUL_AEG,7.3.311,Κόκκος βαφικὸς,,,,Κόκκος βαφικὸς ἀδήκτως ξηραίνει· δι' ὃ τοῖς τε μεγάλοις ἁρμόττει τραύμασι καὶ τοῖς νευροτρώτοις σὺν ὄξει ἢ ὀξυμέλιτι λειωθείς.,κοκκος βαφικος αδηκτως ξηραινει· δι' ο τοις τε μεγαλοις αρμοττει τραυμασι και τοις νευροτρωτοις συν οξει η οξυμελιτι λειωθεις.,,draft,2,227,227,19,paul_row=310; lemma_gr=κόκκος βαφικός; edition_pages=2.227
PAUL_AEG-7.3.312,PAUL_AEG,7.3.312,Κοκκυμηλέας,,,,"Κοκκυμηλέας ὁ καρπὸς ὑπάγει γαστέρα πρόσφατος μὲν μᾶλλον, ξηρανθεὶς δὲ ἧττον. τὸ δὲ ἀφέψημα αὐτοῦ τὰς κατὰ γαργαρεῶνα φλεγμονὰς ἰᾶται διακλυζόμενον. τὸ δὲ κόμμι τοῦ δένδρου τμητικῆς τε καὶ λεπτομεροῦς δυνάμεως, ὅ φασιν ἔνιοι μετ' οἴνου πινόμενον λίθων εἶναι θρυπτικόν, σὺν ὄξει δὲ λειχῆνας ἰᾶσθαι παίδων. ὁ δὲ τῶν ἀγρίων κοκκυμήλων καρπὸς στυπτικὸς ἐναργῶς ἐστι καὶ σταλτικὸς γαστρός· ὀνομάζεται δὲ τὸ φυτὸν τοῦτο κατὰ τὴν Ἀσίαν προῦμνον. ἔοικε δὲ τὰ ἥμερα ξηρανθέντα κοκκύμηλα τὰ νῦν Δαμασκηνὰ προσαγορευόμενα λέγειν ὁ Διοσκουρίδης.","κοκκυμηλεας ο καρπος υπαγει γαστερα προσφατος μεν μαλλον, ξηρανθεις δε ηττον. το δε αφεψημα αυτου τας κατα γαργαρεωνα φλεγμονας ιαται διακλυζομενον. το δε κομμι του δενδρου τμητικης τε και λεπτομερους δυναμεως, ο φασιν ενιοι μετ' οινου πινομενον λιθων ειναι θρυπτικον, συν οξει δε λειχηνας ιασθαι παιδων. ο δε των αγριων κοκκυμηλων καρπος στυπτικος εναργως εστι και σταλτικος γαστρος· ονομαζεται δε το φυτον τουτο κατα την ασιαν προυμνον. εοικε δε τα ημερα ξηρανθεντα κοκκυμηλα τα νυν δαμασκηνα προσαγορευομενα λεγειν ο διοσκουριδης.",,draft,2,227,227,80,paul_row=311; lemma_gr=κοκκυμηλέας; edition_pages=2.227
PAUL_AEG-7.3.313,PAUL_AEG,7.3.313,Κόλλα,,,,Κόλλα ἡ ἐκ σεμιδάλεώς τε καὶ γύρεως γινομένη ἐμπλαστικῆς καὶ πεπτικῆς ἐστι δυνάμεως.,κολλα η εκ σεμιδαλεως τε και γυρεως γινομενη εμπλαστικης και πεπτικης εστι δυναμεως.,,draft,2,227,227,13,paul_row=312; lemma_gr=κόλλα; edition_pages=2.227
PAUL_AEG-7.3.314,PAUL_AEG,7.3.314,Κολοκύνθη,,,,"Κολοκύνθη ὑγρᾶς καὶ ψυχρᾶς ἐστι κράσεως κατὰ τὴν δευτέραν ἀπόστασιν, ὅθεν ὅλη καταπλαττομένη τὰς θερμὰς φλεγμονὰς ἐμψύχει.","κολοκυνθη υγρας και ψυχρας εστι κρασεως κατα την δευτεραν αποστασιν, οθεν ολη καταπλαττομενη τας θερμας φλεγμονας εμψυχει.",,draft,2,227,227,17,paul_row=313; lemma_gr=κολοκύνθη; edition_pages=2.227
PAUL_AEG-7.3.315,PAUL_AEG,7.3.315,Κολοκυνθὶς,,,,"Κολοκυνθὶς καθαρτικῆς ἐστι δυνάμεως ἰσχυρᾶς, χλωρᾶς δὲ αὐτῆς ὁ χυλὸς ἀνατριβόμενος ἰσχιάδας ὀνίνησιν.","κολοκυνθις καθαρτικης εστι δυναμεως ισχυρας, χλωρας δε αυτης ο χυλος ανατριβομενος ισχιαδας ονινησιν.",,draft,2,227,227,13,paul_row=314; lemma_gr=κολοκυνθίς; edition_pages=2.227
PAUL_AEG-7.3.316,PAUL_AEG,7.3.316,Κόμαρος,,,,Κόμαρος. στρυφνὸν τῇ ποιότητι τὸ δένδρον ἅμα τῷ καρπῷ· μεμαίκυλον δὲ αὐτὸν ὀνομάζουσιν. ἔστι δὲ καὶ κακοστόμαχος οὗτος καὶ κεφαλαλγής.,κομαρος. στρυφνον τη ποιοτητι το δενδρον αμα τω καρπω· μεμαικυλον δε αυτον ονομαζουσιν. εστι δε και κακοστομαχος ουτος και κεφαλαλγης.,,draft,2,227,227,20,paul_row=315; lemma_gr=κόμαρος; edition_pages=2.227
PAUL_AEG-7.3.317,PAUL_AEG,7.3.317,Κόμμι,,,,"Κόμμι ξηραντικῆς ἐστι καὶ ἐμπλαστικῆς δυνάμεως, καὶ δῆλον, ὅτι καὶ τραχύτητας ἰᾶται.","κομμι ξηραντικης εστι και εμπλαστικης δυναμεως, και δηλον, οτι και τραχυτητας ιαται.",,draft,2,227,227,12,paul_row=316; lemma_gr=κόμμι; edition_pages=2.227
